Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe Ville annexe	Téléphone annexe	Fax annexe	C1004	C1010	C1015	C1020	C1025	C1030	C1502	C1505	C1507	C1510	C1515	C1520	C1525	C1528	C1529	C1530	C1531	C1532	C1533	C1534	C1535	C1540	C1545	C1550	C1555	C1560	C2005	C2010	C2015	C2510	C2515	C2520	C2521	C2525	C2526	C3005	C3010	C3015	C3020	C3025	C3210	C3220	C3505	C3510	C3515	C4005	C4006	C4007	C4008	C4010	C4015	C4016	C4017	C4020	C4025	C4505	C4510	C4515	C4520	C4525	C4530	C4531	C4532	C4535	C4540	C4545	C4550	C4555	C4560	C5005	C5010	C5015	C5210	C5220	C5505	C5510	C5515	C5520	C5525	C5530	C5535	C5540	C5545	C5550	C5555	C7005	C7010	C7012	C7015	C7020	C7025	C7030	C9905	C9910	C9915	C9920	C9922	C9923	C9924	C9925	C9930	C9935	C9940	C9950	C9999	
01 - Guadeloupe	971 - Guadeloupe	2 - Pointe-à-Pitre	219711207 - Pointe-à-Pitre	200018653	CA CAP Excellence	CA	0	0	2008-12-30	2008-12-30	RDC		3	98532	40	FPU	0	1	0		0		M.	Eric	JALTON		18 Boulevard Légitimus		97110 POINTE-A-PITRE	05 90 68 92 92	05 90 68 92 94		www.capexcellence.net	Idem			 	    	05 90 68 92 94	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	0	1	0	0	1	1	1	0	1	1	
01 - Guadeloupe	971 - Guadeloupe	2 - Pointe-à-Pitre	219711132 - Le Gosier	200041507	CA La Riviéra du Levant	CA	0	0	2014-01-01	2014-01-01	RDC		4	66525	43	FPU	0	0	0		0		M.	Cédric	CORNET		93 Boulevard du Général de Gaulle		97190 Le Gosier	05 90 48 47 47	05 90 93 08 97						 	    	    	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	
01 - Guadeloupe	971 - Guadeloupe	2 - Pointe-à-Pitre	219711223 - Port-Louis	200044691	CA du Nord Grande Terre	CA	0	0	2014-01-01	2014-01-01	RDC		5	57125	38	FPU	0	0	0		0	Taxes additionelles	M.	Jean	BARDAIL		Rue Gambetta	BP 5	97117 PORT-LOUIS	    	    	communaute-ngt@wanadoo.fr	www.nord-grandeterre.com				 	05 90 48 77 80	05 90 48 77 99	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	1	0	1	0	0	1	0	1	0	1	1	
01 - Guadeloupe	971 - Guadeloupe	1 - Basse-Terre	219711298 - Sainte-Rose	249710062	CA du Nord Basse-Terre	CA	0	0	2010-12-30	2010-12-30	RDC		6	79010	40	FPU	0	0	0		1		M.	Guy	LOSBAR		Place Tricolore		97115 Sainte-Rose	28 57 48  	28 24 19  			- Idem - 			 	    	28 24 19  	0	0	0	0	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	1	1	1	0	1	1	
01 - Guadeloupe	971 - Guadeloupe	1 - Basse-Terre	219711058 - Basse-Terre	249710070	CA Grand Sud Caraïbe	CA	0	0	2011-12-30	2011-12-30	ACCOR		11	77485	43	FPU	0	0	0	redevance eau/assainissement - droit de place transport	1	TP modifiée (CET)	M.	Thierry	ABELLI		Place de l'Abbé Magloire - Rue Auguste Bébian		97100 BASSE-TERRE	    	    						 	05 90 99 63 20	05 90 99 63 21	0	0	0	0	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	
01 - Guadeloupe	971 - Guadeloupe	2 - Pointe-à-Pitre	219711124 - Grand-Bourg	249710047	CC de Marie-Galante	CC	0	0	1994-01-18	1994-01-18	RDC		3	10600	23	FPU	0	0	0	 	1	 	Mme	Maryse	ETZOL		Rue du Fort	BP 48	97112 GRAND-BOURG	    	    		www.paysmariegalante.fr				 	    	    	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	
01 - Guadeloupe	971 - Guadeloupe	1 - Basse-Terre	219711041 - Baillif	200050409	SI de l'abattoir de la Basse Terre	SIVU	0	0	2012-04-26	2012-04-26	MEMNB		5	29511	1	CBUDG	0	0	0		0		M.	Roland	PLANTIER		Allée des Pères Blancs		97123 BAILLIF	    	    			Idem			 	    	    	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
01 - Guadeloupe	971 - Guadeloupe	2 - Pointe-à-Pitre	219711017 - Les Abymes	259710077	SI mise en valeur sites plage Guadeloupe	SIVU	0	0	1968-03-08	1968-05-08	AUTR	Majorité absolue	24	286351	1	CBUDG	0	0	0	 	0	 	M.	Camille	PELAGE	28 Cité Les Esses II - Porte 2801			97139 LES ABYMES	05 90 91 52 64	05 90 82 26 12	sips971@orange.fr					 	    	05 90 82 26 12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
01 - Guadeloupe	971 - Guadeloupe	2 - Pointe-à-Pitre	219711017 - Les Abymes	259710101	SI de la piscine Les Abymes, Le Gosier, Pointe-à-Pitre	SIVU	0	0	1968-07-10	1968-07-10	MEMNB		3	94599	1	CBUDG	0	0	0	 	0	 	M.	ROBERT	BARBIN	Dugazon			97139 LES ABYMES	05 90 83 54 55	05 90 83 97 15	sipgap@wanadoo.fr					 	05 90 83 54 55	05 90 83 97 15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
01 - Guadeloupe	971 - Guadeloupe	2 - Pointe-à-Pitre	219711017 - Les Abymes	259710192	SIVU Agglo Les Abymes Baie-Mahault Le Gosier Pointe-à Pitre	SIVU	0	0	1998-10-22	1998-10-22	MEMNB		4	125969	2	CBUDG	0	0	0		0		M.	Lurel	CHONKEL	Centre Commercial - Bâtiment A	Lot n°5 Petit Pérou		97139 LES ABYMES 	20 -0 2- 86 	85 -7 5- 58 						 	    	85 -7 5- 58 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
