Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe Ville annexe	Téléphone annexe	Fax annexe	C1004	C1010	C1015	C1020	C1025	C1030	C1502	C1505	C1507	C1510	C1515	C1520	C1525	C1528	C1529	C1530	C1531	C1532	C1533	C1534	C1535	C1540	C1545	C1550	C1555	C1560	C2005	C2010	C2015	C2510	C2515	C2520	C2521	C2525	C2526	C3005	C3010	C3015	C3020	C3025	C3210	C3220	C3505	C3510	C3515	C4005	C4006	C4007	C4008	C4010	C4015	C4016	C4017	C4020	C4025	C4505	C4510	C4515	C4520	C4525	C4530	C4531	C4532	C4535	C4540	C4545	C4550	C4555	C4560	C5005	C5010	C5015	C5210	C5220	C5505	C5510	C5515	C5520	C5525	C5530	C5535	C5540	C5545	C5550	C5555	C7005	C7010	C7012	C7015	C7020	C7025	C7030	C9905	C9910	C9915	C9920	C9922	C9923	C9924	C9925	C9930	C9935	C9940	C9950	C9999	
84 - Auvergne-Rhône-Alpes	07 - Ardèche	2 - Privas	210701868 - Privas	200071413	CA Privas Centre Ardèche	CA	0	0	2016-12-05	2017-01-01	RDC		42	45015	44	FPU	0	0	0		0		M.	François	ARSAC		1 Rue Serre du Serret 	BP 337	07000 PRIVAS	04 75 64 07 07	    						 	    	    	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	
84 - Auvergne-Rhône-Alpes	07 - Ardèche	3 - Tournon-sur-Rhône	210700787 - Davézieux	200072015	CA Annonay Rhône Agglo	CA	0	0	2016-12-05	2017-01-01	RDC		29	51028	43	FPU	0	0	0		0		M.	Simon	PLENET	Domaine de la Lombardière			07430 Davèzieux	04 75 67 55 57	04 75 67 66 96	courrier.agglo@annonayrhoneagglo.fr	www.annonayrhoneagglo.fr				 	    	    	0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	
84 - Auvergne-Rhône-Alpes	07 - Ardèche	3 - Tournon-sur-Rhône	210701520 - Mauves	200073096	CA Arche Agglo	CA	0	1	2016-12-26	2017-01-01	RDC		41	60516	43	FPU	0	0	0		0		M.	Frédéric	SAUSSET		3 Rue des Condamines		07300 Mauves	04 26 78 78 78	    						 	    	    	0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	
84 - Auvergne-Rhône-Alpes	07 - Ardèche	3 - Tournon-sur-Rhône	210701298 - Lamastre	200016905	CC du Pays de Lamastre	CC	0	0	2008-09-08	2009-01-01	RDC		11	6812	22	FPU	1	0	0	 	1	 	M.	JEAN-PAUL	VALLON		26 Avenue Boissy d'Anglas		07270 Lamastre	    	    	cdclamastre@orange.fr					 	    	    	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	
84 - Auvergne-Rhône-Alpes	07 - Ardèche	1 - Largentière	210703302 - Vallon-Pont-d'Arc	200039808	CC des Gorges de l'Ardèche	CC	0	0	2013-12-31	2013-12-31	ACCOR		20	15864	34	FPU	1	0	0		0		M.	Luc	PICHON		215 Vieille Route du Pont d'Arc	BP 46	07150 Vallon-Pont-d'Arc	04 75 37 61 13	04 75 36 46 81	direction@cc-gorgesardeche.fr					 	    	    	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	
84 - Auvergne-Rhône-Alpes	07 - Ardèche	1 - Largentière	210703229 - Thueyts	200039824	CC Ardèche des Sources et Volcans	CC	0	0	2014-01-01	2014-01-01	ACCOR		16	9923	33	FPU	1	0	1		1		M.	Cédric	D'IMPÉRIO	Château de Blou			07330 Thueyts	04 75 89 01 48	    	cdc@ardechedessourcesetvolcans.com	www.asv-cdc.fr				 	    	    	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	
84 - Auvergne-Rhône-Alpes	07 - Ardèche	1 - Largentière	210703344 - Les Vans	200039832	CC Pays des Vans en Cévennes	CC	0	0	2013-12-31	2013-12-31	ACCOR		15	9626	28	FPU	0	0	0	produits issus d'une prise de participation dans une société	0	Taxe de séjour	M.	Joël	FOURNIER		110 Place Fernand Aubert		07140 Les Vans	04 75 37 41 22	    						 	    	    	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	
84 - Auvergne-Rhône-Alpes	07 - Ardèche	3 - Tournon-sur-Rhône	210701025 - Guilherand-Granges	200041366	CC Rhône Crussol	CC	0	0	2014-01-01	2014-01-01	RDC		13	35375	35	FPU	1	0	0		1		M.	Jacques	DUBAY		1278 Rue Henri Dunant		07500 Guilherand Granges	    	    						 	    	    	0	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	
84 - Auvergne-Rhône-Alpes	07 - Ardèche	3 - Tournon-sur-Rhône	210700647 - Le Cheylard	200041465	CC Val Eyrieux	CC	0	0	2013-12-31	2013-12-31	RDC		29	12763	29	FPU	0	1	0		1		M.	Jacques	CHABAL		21 Avenue de Saunier		07160 Le Cheylard	    	    			21 avenue de Saunier			07160 LE CHEYLARD	    	    	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	
84 - Auvergne-Rhône-Alpes	07 - Ardèche	2 - Privas	210700761 - Cruas	200071405	CC Ardèche Rhône Coiron	CC	0	0	2016-12-16	2017-01-01	RDC		15	23679	23	FPU	0	0	0		0		M.	Yves	BOYER		10 Avenue de la Résistance		07350 CRUAS	04 75 00 04 11	    	contact@ardecherhonecoiron.fr					 	    	    	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	
