Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège - Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe - Ville annexe	Téléphone annexe	Fax annexe
44 - Grand Est	68 - Haut-Rhin	4 - Mulhouse	216802249 - Mulhouse	200066009	CA Mulhouse Alsace Agglomération	CA	0	0	2016-06-15	2017-01-01	RDC		39	276696	37	FPU	0	0	0		0		M.	Fabian	JORDAN	Maison During	2 Rue Pierre et Marie Curie		68200 MULHOUSE	    	    	ACCUEIL@agglo-mulhouse.fr		Maison During	2 rue Pierre et Marie Curie		68200 MULHOUSE	    	    	
44 - Grand Est	68 - Haut-Rhin	4 - Mulhouse	216802975 - Saint-Louis	200066058	CA Saint-Louis Agglomération	CA	0	0	2016-06-09	2017-01-01	RDC		40	84947	47	FPU	0	0	0		0		M.	Jean-Marc	DEICHTMANN		Place de l'Hôtel de Ville	CS 50199	68305 SAINT-LOUIS CEDEX	    	    	direction@agglo-saint-louis.fr		Place de l'hôtel de ville	CS 50199		68305 Saint-Louis cedex	    	    	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216800664 - Colmar	246800726	CA Colmar Agglomération	CA	0	0	2003-10-24	2003-11-01	RDC		20	115921	36	FPU	0	1	0	Redevance d'assainissement	1	 	M.	Eric	STRAUMANN		Cours Sainte Anne		68000 COLMAR 	    	    	accueil@agglo-colmar.fr		32 Cours Sainte-Anne	BP 80197		68004 COLMAR CEDEX	    	    	
44 - Grand Est	68 - Haut-Rhin	6 - Thann-Guebwiller	216800631 - Cernay	200036465	CC de Thann-Cernay	CC	0	0	2012-12-31	2013-01-01	RDC		16	38412	38	FPU	0	0	0	 	0	 	M.	François	HORNY		3A Rue de l'Industrie		68700 CERNAY	    	    	contact@cc-thann-cernay.fr		3 a rue de l'Industrie			68704 CERNAY cedex	    	03 89 75 78 14	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216803528 - Volgelsheim	200066025	CC Alsace Rhin Brisach	CC	0	0	2016-06-09	2017-01-01	RDC		29	34434	41	FPU	0	0	0		0		M.	Gérard	HUG		16 Rue de Neuf-Brisach		68600 VOLGELSHEIM	    	    	contact@alsacerhinbrisach.fr		16 rue de Neuf Brisach	BP 20045		68600 VOLGELSHEIM	    	    	
44 - Grand Est	68 - Haut-Rhin	1 - Altkirch	216800680 - Dannemarie	200066033	CC Sud Alsace Largue	CC	0	0	2016-06-15	2017-01-01	RDC		44	22737	37	FPU	0	0	0		0		M.	Vincent	GASSMANN		7 Rue de Bâle		68210 DANNEMARIE	    	    	info@sudalsace-largue.fr		7 rue de Bâle			68210 Dannemerie	    	    	
44 - Grand Est	68 - Haut-Rhin	1 - Altkirch	216800045 - Altkirch	200066041	CC Sundgau	CC	0	0	2016-06-15	2017-01-01	RDC		64	48759	33	FPU	0	0	0		0		M.	Gilles	FREMIOT	Quartier Plessier	Avenue du 8ème Régiment de Hussards		68130 ALTKIRCH	    	    	accueil@cc-sundgau.fr		Quartier Plessier	Avenue du 8ème régiment de Hussards		68210 ALTKIRCH	    	    	
44 - Grand Est	68 - Haut-Rhin	6 - Thann-Guebwiller	216802926 - Saint-Amarin	246800205	CC de la Vallée de Saint-Amarin	CC	0	0	1999-12-31	1999-12-31	RDC		15	12301	39	FPU	0	0	1	 	0	Taxe d'assainissement	M.	Cyrille	AST		70 Rue Charles de Gaulle		68550 SAINT-AMARIN	03 89 82 60 01	03 89 38 23 14	contact@ccvsa.fr	www.cc-stamarin.fr	70 rue Charles de Gaulle			68550 SAINT AMARIN	    	03 89 38 23 14	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216802942 - Sainte-Croix-aux-Mines	246800395	CC du Val d'Argent	CC	0	0	2000-12-22	2001-01-01	ACCOR		4	9483	34	FPU	0	0	1	 	0	Taxe de séjour	M.	Jean-Marc	BURRUS		11A Rue  Maurice Burrus		68160 SAINTE-CROIX-AUX-MINES	03 89 58 83 45	03 89 58 69 84	ccva-accueil@valdargent.com	www.valdargent.com	11a rue Maurice Burrus			68160 SAINTE CROIX AUX MINES	    	03 89 58 69 84	
44 - Grand Est	68 - Haut-Rhin	6 - Thann-Guebwiller	216800821 - Ensisheim	246800445	CC du Centre du Haut-Rhin	CC	0	0	2002-02-04	2002-02-04	RDC		9	16501	27	FPU	0	0	1	 	0	 	M.	Michel	HABIG	Mairie d'Ensisheim	6 Place de l'Église		68190 ENSISHEIM	03 89 26 40 70	    	contact@ccchr.fr	cc-centre-haut-rhin.fr	Mairie d'Ensisheim	6 Place de l'Eglise		68190 ENSISHEIM	    	    	
44 - Grand Est	68 - Haut-Rhin	6 - Thann-Guebwiller	216802876 - Rouffach	246800494	CC du Pays de Rouffach, Vignobles et Châteaux	CC	0	0	1993-12-14	1994-01-01	RDC		11	13328	32	AAZSE	0	0	0	 	1	Taxe de séjour	M.	Jean-Pierre	TOUCAS		9 Aux Remparts		68250 ROUFFACH	03 89 78 51 44	03 89 49 64 92	accueil@cc-paysderouffach.fr		9 rue aux Remparts			68250 ROUFFACH	    	    	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	200052603 - Kaysersberg Vignoble	246800551	CC de la Vallée de Kaysersberg	CC	0	0	1995-12-29	1996-01-01	RDC		8	16420	41	FPU	0	1	1	Redevance des Ordures Ménagères	0	Taxe de séjour	M.	Philippe	GIRARDIN		31 Rue du Geisbourg		68240 KAYSERSBERG	    	    	info@cc-kaysersberg.fr	www.cc-kaysersberg.fr	31 rue du Geisbourg			68240 KAYSERSBERG VIGNOBLE	    	    	
44 - Grand Est	68 - Haut-Rhin	6 - Thann-Guebwiller	216801126 - Guebwiller	246800569	CC de la Région de Guebwiller	CC	0	0	2000-11-29	2001-01-01	RDC		19	38987	36	FPU	0	0	0	Redevance d'assainissement	1	Taxe de séjour	M.	Marcello	ROTOLO		1 Rue des Malgré-Nous	BP 114	68502 GUEBWILLER CEDEX	03 89 62 12 34	03 89 62 12 20	infos@cc-guebwiller.fr		1 rue des Malgré Nous	BP 80114		68502 GUEBWILLER cedex	    	03 89 62 12 20	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216802694 - Ribeauvillé	246800577	CC du Pays de Ribeauvillé	CC	0	0	1996-05-30	1996-06-01	RDC		16	18588	36	FPU	0	0	1	 	0	Taxe de séjour	M.	Umberto	STAMILE		1 Rue Pierre de Coubertin		68150 RIBEAUVILLE	03 89 73 27 10	03 89 73 27 11	epci@paysderibeauville.fr	www.cc-ribeauville.fr	1 rue Pierre de Coubertin			68150 RIBEAUVILLE	    	03 89 73 27 11	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216802264 - Munster	246800585	CC de la Vallée de Munster	CC	0	0	1996-05-30	1996-05-30	RDC		16	16545	37	FPU	0	0	0	Redevance d'assainissement	1	Taxe de séjour	M.	Norbert	SCHICKEL	Maison des Services	9 Rue Sébastopol		68140 MUNSTER	    	    	ccvm@cc-vallee-munster.fr	www.cc-vallee-munster.fr	Maison des services	9 rue Sébastopol		68140 MUNSTER	    	    	
